Date,Return,,D1,D2,D3,D4,D5
15/10/2013 0:00,0.011287324,2,0,1,0,0,0
16/10/2013 0:00,-0.004275464,3,0,0,1,0,0
17/10/2013 0:00,0.005087742,4,0,0,0,1,0
18/10/2013 0:00,0.007910514,5,0,0,0,0,1
21/10/2013 0:00,-0.002594243,1,1,0,0,0,0
22/10/2013 0:00,-0.000124814,2,0,1,0,0,0
23/10/2013 0:00,-0.002932381,3,0,0,1,0,0
24/10/2013 0:00,0.002391767,4,0,0,0,1,0
25/10/2013 0:00,-0.008006994,5,0,0,0,0,1
28/10/2013 0:00,0.007306743,1,1,0,0,0,0
29/10/2013 0:00,0.001562843,2,0,1,0,0,0
30/10/2013 0:00,0.005220786,3,0,0,1,0,0
31/10/2013 0:00,-0.001773562,4,0,0,0,1,0
1/11/2013 0:00,-0.007349956,5,0,0,0,0,1
4/11/2013 0:00,-0.004066352,1,1,0,0,0,0
5/11/2013 0:00,-0.011066263,2,0,1,0,0,0
6/11/2013 0:00,0.00238991,3,0,0,1,0,0
7/11/2013 0:00,0.000210101,4,0,0,0,1,0
8/11/2013 0:00,-0.006554754,5,0,0,0,0,1
11/11/2013 0:00,-0.005731109,1,1,0,0,0,0
12/11/2013 0:00,0.001550842,2,0,1,0,0,0
13/11/2013 0:00,-0.011166089,3,0,0,1,0,0
14/11/2013 0:00,0.003774876,4,0,0,0,1,0
15/11/2013 0:00,0.005175328,5,0,0,0,0,1
18/11/2013 0:00,0.001752119,1,1,0,0,0,0
19/11/2013 0:00,0.008357863,2,0,1,0,0,0
20/11/2013 0:00,-0.006772102,3,0,0,1,0,0
21/11/2013 0:00,-0.012881722,4,0,0,0,1,0
22/11/2013 0:00,0.002137315,5,0,0,0,0,1
25/11/2013 0:00,0.008676296,1,1,0,0,0,0
26/11/2013 0:00,0.007363321,2,0,1,0,0,0
27/11/2013 0:00,0.005785877,3,0,0,1,0,0
28/11/2013 0:00,0.007990025,4,0,0,0,1,0
29/11/2013 0:00,0.005295463,5,0,0,0,0,1
2/12/2013 0:00,0.000925043,1,1,0,0,0,0
